Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
b966391133ab86d1200c6ae6e0a3d47d6e7abab9,24685,1272,230,28,749,25410,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
17adf3af5921d7e231d1232caa4b01a44a9519cb,24685,1272,230,28,749,25410,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
4002d83243e2dd08503dd5352c6d377b20801541,24685,1272,230,28,749,25410,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
ed34219d1b796b015d4a1222ffc8914a5a3e06a5,24682,1272,230,28,749,25407,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
6332afc5dc0b1cc5879bc17a10917866558b67cd,24682,1272,230,28,749,25407,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
9bca9636fbeec9bb149ffed5f9986a19a4c57762,24682,1272,230,28,749,25407,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
3703b4b577fc62a13fafaf79b2010c95086a1e88,24682,1272,230,28,749,25407,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
9276ae474874fd140e153c4808833bd143367dbe,24682,1272,230,28,749,25407,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
fbbe59a2a927281042f5dbad76143f444e2a82ec,24682,1272,230,28,749,25407,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
c6c4f95ed9e3220133815b9126c135e805637022,24678,1272,230,28,749,25403,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/22.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/79.html;https://cwe.mitre.org/data/definitions/89.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/319.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html;https://cwe.mitre.org/data/definitions/732.html
