Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
5f61e42324c3a6cd4da17b5d5ebe4663aa4b8783,6901,15,3,2,61,6856,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
940046e9fd9f94c9da7f8ee98c8ab3720e4e8c6a,6900,15,3,2,61,6855,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
b3460d38bf8195df21ea78d51bb92e8a14455dcd,6899,15,3,2,61,6854,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
f1c2b8a16108f7e19f5c68163ff15b6bced6513b,6897,15,3,2,61,6852,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
06c1bb72be354a1629f6e958376420101fed4258,6896,15,3,2,61,6851,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
edf9913d5a5aed67101b8bb45974b2b0de0092d6,6895,15,3,2,61,6850,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
fc0f42e21f1b94b3260b75d38704d46f81f9d893,6894,15,3,2,61,6849,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
deead515b12be81bb8d86908290d1bc51ad2736c,6893,15,3,2,61,6848,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
cf5bd5a575d840f625a0e3f423605d455fd633cf,6893,15,3,2,61,6848,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
cf48d546955faddc3eb4d492e70a05b900068402,6892,15,3,2,61,6847,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/94.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/327.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/377.html;https://cwe.mitre.org/data/definitions/400.html;https://cwe.mitre.org/data/definitions/502.html;https://cwe.mitre.org/data/definitions/703.html
