Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
b0215699137c41a96c57f650640cb9db1c25314a,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
48676b4f112b7500721bdc239719dd89e3787c82,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
b1102e2388e36d0b4a3c75c2d5a89656c3e55970,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
31920eff623a49ab177ba29f8f795e69b4cbb7cf,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
4516a48c7cd068897ee45c715a5d2aacd692b4e8,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
f8878f3a98057c6ab6161d2577fab49087ba7015,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
5c8fa58fd06d6d6bb4ae9fe7ef95894bdc94d4fc,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
987d2f9a92bcb8f453a41d7e3230e00cb9a8d8db,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
920110276a551ca20fb6a9a8a190d242b28a5151,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
b397ad9e52a8606e4ea1233f6f66bfd221c0e79b,2862,61,0,0,1,2922,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/259.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/605.html;https://cwe.mitre.org/data/definitions/703.html
